"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
1,"3. About half the time","2. No, didn't vote",NA,"4. A little","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,15,0,70,"2. Oppose","2. Oppose",NA,"5. Very bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","2. Somewhat important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","1. Yes","4. A few times a year","1. Yes",29,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,30,50,15,85,"3. Neither favor nor oppose","3. Neither favor nor oppose","5. Slightly conservative","3. Neither good nor bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","1. Never","2. Not important","2. No",NA,NA,26,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
3,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",50,60,30,50,50,50,"1. Favor","1. Favor",NA,"4. Bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","2. Not important","2. No",NA,NA,23,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.",NA
4,"3. About half the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","2. Disapprove",0,60,15,50,30,70,"2. Oppose","2. Oppose",NA,"3. Neither good nor bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",58,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","2. Disapprove","2. Wrong track","2. Disapprove",15,0,40,70,70,40,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","4. Not at all important","3. Neither favor nor oppose","3. Don't waste very much","1. Has probably been happening","1. Favor","2. Some of the time","3. About half the time","1. Important","1. Yes","2. Almost every week","2. No",38,"3. Divorced","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
6,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,50,0,40,15,30,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","3. Neither favor nor oppose","1. Waste a lot",NA,"2. Oppose","5. Always","2. Some of the time","1. Important","1. Yes","1. Every week",NA,60,"1. Married","6. Master's degree","2. No","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
7,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,100,85,85,15,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"4. Bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","4. A few times a year","2. No",58,"1. Married","1. Some high school or less","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
8,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,85,0,15,0,40,"3. Neither favor nor oppose","3. Neither favor nor oppose","5. Slightly conservative","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","2. No",NA,"2. No",56,"2. Widowed","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
9,"1. Always","1. Yes, voted","2. Mitt Romney","2. A lot","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",15,60,0,0,15,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","1. Never","2. Not important","1. Yes","4. A few times a year","2. No",45,"4. Separated","2. High school graduate","2. No","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
10,"3. About half the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","1. Right direction","1. Approve",60,50,70,50,50,50,"1. Favor","1. Favor","3. Slightly liberal","3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","3. Not very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","1. Never","1. Important","1. Yes","4. A few times a year","1. Yes",30,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
